Location,Cases,Deaths,Recov.,Population-2019
World,1903241,121010,451646,7713468100
United States,587357,23649,44207,329064917
Spain,172655,18150,67504,46736776
Italy,159516,20465,35435,60550075
Germany,130400,3217,57259,83517045
France,98076,14967,27718,65129728
United Kingdom,88621,11329,0,67530172
China,82249,3341,77738,1433783686
Iran,74877,4683,48129,82913906
Turkey,61049,1296,3957,83429615
Belgium,31119,4157,6868,11539328
Netherlands,27419,2945,0,17097130
Switzerland,25739,1148,13700,8591365
Canada,25680,780,7758,37411047
Brazil,23753,1355,0,211049527
Russia,21102,170,1694,145872256
Portugal,17448,567,347,10226187
Austria,14119,384,7633,8955102
Israel,11868,119,2000,8519377
Sweden,11445,1033,0,10036379
India,10815,353,1190,1366417754
Ireland,10647,365,0,4882495
South Korea,10564,222,7534,51225308
Peru,9784,216,2642,32510453
Japan,7645,109,853,126860301
Ecuador,7529,355,597,17373662
Chile,7525,82,2367,18952038
Poland,7049,251,617,37887768
Romania,6879,346,1051,19364557
Norway,6604,136,0,5378857
Denmark,6496,299,2515,5771876
Australia,6400,61,3598,25203198
Czech Republic,6059,147,527,10689209
Pakistan,5716,96,1378,216565318
Philippines,5223,335,295,108116615
Mexico,5014,332,1964,127575529
Malaysia,4987,82,2478,31949777
Saudi Arabia,4934,65,805,34268528
Indonesia,4839,459,426,270625568
United Arab Emirates,4521,25,852,9770529
Serbia,4054,85,400,8772235
Panama,3472,94,61,4246439
Qatar,3428,7,373,2832067
Ukraine,3372,98,119,43993638
Luxembourg,3292,69,467,615729
Belarus,3281,33,203,9452411
Singapore,3252,9,586,5804337
Dominican Republic,3167,176,152,10738958
Finland,3161,59,0,5532156
Colombia,2852,112,319,50339443
Thailand,2613,41,1405,69037513
Argentina,2277,98,515,44780677
South Africa,2272,27,410,58558270
Egypt,2190,164,589,100388073
Greece,2145,101,269,10473455
Algeria,1983,313,601,43053054
Moldova,1847,36,134,4043263
Morocco,1838,126,210,36471769
Iceland,1711,9,933,339031
Croatia,1704,31,415,4130304
Bahrain,1522,7,645,1641172
Hungary,1512,122,122,9684679
Iraq,1375,78,717,39309783
Kuwait,1355,2,150,4207083
Estonia,1332,28,102,1325648
Slovenia,1220,56,152,2078654
Azerbaijan,1197,13,351,10047718
Kazakhstan,1179,14,150,18551427
Uzbekistan,1113,4,99,32981716
Bosnia and Herzegovina,1080,39,218,3301000
New Zealand,1072,9,628,4783063
Lithuania,1070,24,101,2759627
Armenia,1067,16,265,2957731
Hong Kong,1013,4,434,7436154
Bangladesh,1012,46,42,163046161
Puerto Rico,923,45,0,2933408
North Macedonia,908,44,86,2083459
Cameroon,848,14,130,25876380
Slovakia,835,2,107,5457013
Oman,813,4,130,4974986
Tunisia,726,34,43,11694719
Cuba,726,21,121,11333483
Afghanistan,714,23,40,38041754
Bulgaria,695,35,81,7000119
Latvia,657,5,16,1906743
Cyprus,652,12,65,1179551
Andorra,646,29,139,77142
Lebanon,641,21,80,6855713
Ivory Coast,626,6,89,25716544
Costa Rica,612,3,62,5047561
Ghana,566,8,4,28833629
Niger,548,13,86,23310715
Burkina Faso,515,28,170,20321378
Uruguay,483,8,248,3461734
Albania,475,24,248,2880917
Kyrgyzstan,430,5,71,6415850
Honduras,397,25,7,9746117
Taiwan,393,6,124,23773876
Jordan,391,7,215,10101694
Réunion,391,0,40,888927
Malta,384,3,44,440372
San Marino,371,36,53,33860
Bolivia,354,28,6,11513100
Nigeria,343,10,91,200963599
Mauritius,324,9,42,1198575
Guinea,319,0,17,12771246
Djibouti,298,2,41,973560
Georgia,296,3,69,3996765
Senegal,291,2,178,16296364
Palestine,273,2,58,4981420
Montenegro,273,2,5,627987
Vietnam,266,0,169,96462106
Isle of Man,242,2,132,84584
DR Congo,235,20,17,86790567
Guernsey,219,6,53,172259
Sri Lanka,218,7,59,21323733
Mayotte,217,3,69,266150
Kenya,216,9,41,52573973
Venezuela,189,9,110,28515829
Faroe Islands,184,0,163,48678
Guatemala,167,5,19,17581472
Paraguay,159,7,22,7044636
Martinique,157,8,50,375554
El Salvador,149,6,25,6453553
Guadeloupe,145,8,67,447905
Brunei,136,1,99,433285
Guam,133,5,58,167294
Gibraltar,129,0,90,33701
Rwanda,127,0,42,12626950
Mali,123,10,26,19658031
Cambodia,122,0,91,16486542
Trinidad and Tobago,113,8,12,1394973
Madagascar,106,0,20,26969307
Monaco,93,1,6,38964
Aruba,92,0,32,106314
French Guiana,88,0,53,282731
Ethiopia,82,3,14,112078730
Liechtenstein,79,1,55,38019
Togo,77,3,29,8082366
Jamaica,73,4,17,2948279
Barbados,72,4,13,287025
Myanmar,62,4,2,54045420
Somalia,60,2,2,15442905
Bermuda,57,5,30,62506
Gabon,57,1,1,2172579
French Polynesia,55,0,0,279287
Uganda,54,0,4,44269594
Cayman Islands,54,1,6,64948
Sint Maarten,52,8,3,42388
U.S. Virgin Islands,51,1,43,104578
Liberia,50,5,3,4937374
Bahamas,49,8,6,389482
Guyana,47,6,8,782766
Tanzania,46,3,7,58005463
Macau,45,0,13,640445
Zambia,45,2,30,17861030
Haiti,40,3,0,11263770
Guinea-Bissau,39,0,0,1920922
Benin,35,1,5,11801151
Eritrea,34,0,0,3497117
Mongolia,30,0,5,3225167
Sudan,29,4,0,42813238
Libya,26,1,9,6777452
Syria,25,2,5,17070135
Antigua and Barbuda,23,2,0,97118
Chad,23,0,2,15946876
Equatorial Guinea,21,0,4,1355986
Mozambique,21,0,2,30366036
Maldives,20,0,14,530953
Angola,19,2,2,31825295
Laos,19,0,0,7169455
Belize,18,2,0,390353
New Caledonia,18,0,10,282750
Zimbabwe,17,3,0,14645468
Fiji,16,0,0,889953
Malawi,16,2,0,18628747
Namibia,16,0,2,2494530
Nepal,16,0,1,28608710
Dominica,16,0,5,71808
Eswatini,15,0,7,1148130
Saint Lucia,15,0,0,182790
Curaçao,14,1,7,163424
Grenada,14,0,0,112003
Botswana,13,1,0,2303697
Saint Kitts and Nevis,12,0,0,52823
Greenland,11,0,11,56672
Sierra Leone,11,0,0,7813215
Nicaragua,11,1,4,6545502
Central African Republic,11,0,3,4745185
Seychelles,11,0,0,97739
Montserrat,11,0,1,4989
Cape Verde,10,1,0,549935
Suriname,10,1,6,581372
Turks and Caicos Islands,10,1,0,38191
Gambia,9,1,2,2347706
Vatican City,8,0,2,799
Mauritania,7,1,2,4525696
Falkland Islands,5,0,0,3377
Bhutan,5,0,2,763092
Burundi,5,1,0,10864245
East Timor,4,0,1,1293119
São Tomé and Príncipe,4,0,0,215056
South Sudan,4,0,0,11062113
Anguilla,3,0,0,14869
British Virgin Islands,3,0,0,30030
Papua New Guinea,2,0,0,8776109
Saint Pierre and Miquelon,1,0,0,5822
Yemen,1,0,0,29161922
